route_id,origin_city,destination_city,mode,avg_cost_inr,duration_hrs,distance_km
109,Delhi,Shillong,Train-AC,2354,32.0,1491.2
110,Delhi,Shillong,Train-Sleeper,910,32.0,1491.2
111,Bangalore,Hampi,Flight,2870,1.4,289.9
112,Bangalore,Hampi,Train-AC,761,5.7,289.9
113,Bangalore,Hampi,Train-Sleeper,221,5.7,289.9
114,Chennai,Hampi,Flight,4626,1.7,481.1
115,Chennai,Hampi,Train-AC,1115,10.0,481.1
116,Chennai,Hampi,Train-Sleeper,296,10.0,481.1
117,Kolkata,Bodh Gaya,Flight,3634,1.6,416.8
118,Kolkata,Bodh Gaya,Train-AC,969,8.7,416.8
119,Kolkata,Bodh Gaya,Train-Sleeper,380,8.7,416.8
120,Delhi,Bodh Gaya,Flight,6852,2.3,887.4
121,Delhi,Bodh Gaya,Train-AC,1345,18.1,887.4
122,Delhi,Bodh Gaya,Train-Sleeper,657,18.1,887.4
123,Delhi,Auli,Flight,2923,1.4,312.1
124,Delhi,Auli,Train-AC,622,5.2,312.1
125,Delhi,Auli,Train-Sleeper,277,5.2,312.1
126,Mumbai,Auli,Flight,10785,3.1,1440.6
127,Mumbai,Auli,Train-AC,2706,28.9,1440.6
128,Mumbai,Auli,Train-Sleeper,696,28.9,1440.6
129,Delhi,Tirthan Valley,Flight,4413,1.6,443.8
130,Delhi,Tirthan Valley,Train-AC,839,8.5,443.8
131,Delhi,Tirthan Valley,Train-Sleeper,315,8.5,443.8
132,Mumbai,Tirthan Valley,Flight,11761,3.3,1581.0
133,Mumbai,Tirthan Valley,Train-AC,2289,34.0,1581.0
134,Mumbai,Tirthan Valley,Train-Sleeper,1020,34.0,1581.0
135,Hyderabad,Tirupati,Flight,4381,1.6,429.4
136,Hyderabad,Tirupati,Train-AC,1000,9.1,429.4
137,Hyderabad,Tirupati,Train-Sleeper,300,9.1,429.4
138,Chennai,Tirupati,Train-AC,382,2.0,110.3
139,Chennai,Tirupati,Train-Sleeper,145,2.0,110.3
140,Kolkata,Kaziranga,Flight,5854,1.9,659.1
141,Kolkata,Kaziranga,Train-AC,1406,12.3,659.1
142,Kolkata,Kaziranga,Train-Sleeper,534,12.3,659.1
143,Delhi,Kaziranga,Flight,10869,3.3,1588.0
144,Delhi,Kaziranga,Train-AC,2453,29.6,1588.0
145,Delhi,Kaziranga,Train-Sleeper,974,29.6,1588.0
146,Delhi,Kasol,Flight,3151,1.5,377.8
147,Delhi,Kasol,Train-AC,783,6.6,377.8
148,Delhi,Kasol,Train-Sleeper,317,6.6,377.8
149,Mumbai,Kasol,Flight,7866,3.1,1505.0
150,Mumbai,Kasol,Train-AC,2092,27.0,1505.0
151,Mumbai,Kasol,Train-Sleeper,1080,27.0,1505.0
152,Delhi,Khajjiar,Flight,3385,1.5,345.9
153,Delhi,Khajjiar,Train-AC,774,5.9,345.9
154,Delhi,Khajjiar,Train-Sleeper,244,5.9,345.9
155,Mumbai,Khajjiar,Flight,7844,3.1,1439.4
156,Mumbai,Khajjiar,Train-AC,1982,28.4,1439.4
157,Mumbai,Khajjiar,Train-Sleeper,843,28.4,1439.4
158,Delhi,Chamba,Flight,2725,1.4,260.1
159,Delhi,Chamba,Train-AC,563,5.7,260.1
160,Delhi,Chamba,Train-Sleeper,224,5.7,260.1
161,Mumbai,Chamba,Flight,9928,2.9,1336.5
162,Mumbai,Chamba,Train-AC,2743,25.5,1336.5
163,Mumbai,Chamba,Train-Sleeper,742,25.5,1336.5
164,Delhi,Narkanda,Flight,2824,1.3,218.6
165,Delhi,Narkanda,Train-AC,624,4.0,218.6
166,Delhi,Narkanda,Train-Sleeper,222,4.0,218.6
167,Mumbai,Narkanda,Flight,7626,2.9,1358.7
168,Mumbai,Narkanda,Train-AC,2342,24.8,1358.7
169,Mumbai,Narkanda,Train-Sleeper,933,24.8,1358.7
170,Kolkata,Manas National Park,Flight,5602,1.9,615.2
171,Kolkata,Manas National Park,Train-AC,971,12.0,615.2
172,Kolkata,Manas National Park,Train-Sleeper,506,12.0,615.2
173,Delhi,Manas National Park,Flight,11625,3.5,1731.1
174,Delhi,Manas National Park,Train-AC,2379,30.1,1731.1
175,Delhi,Manas National Park,Train-Sleeper,1138,30.1,1731.1
176,Delhi,Shimla,Flight,2768,1.4,277.0
177,Delhi,Shimla,Train-AC,710,5.6,277.0
178,Delhi,Shimla,Train-Sleeper,239,5.6,277.0
179,Mumbai,Shimla,Flight,9863,3.0,1405.3
180,Mumbai,Shimla,Train-AC,2730,24.5,1405.3
181,Mumbai,Shimla,Train-Sleeper,1075,24.5,1405.3
182,Delhi,Sarahan,Flight,3823,1.6,426.8
183,Delhi,Sarahan,Train-AC,1005,9.1,426.8
184,Delhi,Sarahan,Train-Sleeper,324,9.1,426.8
185,Mumbai,Sarahan,Flight,10700,3.2,1568.1
186,Mumbai,Sarahan,Train-AC,2418,27.2,1568.1
187,Mumbai,Sarahan,Train-Sleeper,758,27.2,1568.1
188,Delhi,Manali,Flight,3794,1.6,403.6
189,Delhi,Manali,Train-AC,810,7.4,403.6
190,Delhi,Manali,Train-Sleeper,311,7.4,403.6
191,Mumbai,Manali,Flight,9689,3.2,1526.1
192,Mumbai,Manali,Train-AC,2517,26.0,1526.1
193,Mumbai,Manali,Train-Sleeper,1038,26.0,1526.1
194,Kolkata,Nalanda,Flight,3341,1.6,433.2
195,Kolkata,Nalanda,Train-AC,949,9.2,433.2
196,Kolkata,Nalanda,Train-Sleeper,340,9.2,433.2
197,Delhi,Nalanda,Flight,5198,2.2,871.0
198,Delhi,Nalanda,Train-AC,1783,17.0,871.0
199,Delhi,Nalanda,Train-Sleeper,667,17.0,871.0
200,Kolkata,Patna,Flight,4265,1.7,469.2
201,Kolkata,Patna,Train-AC,1086,8.9,469.2
202,Kolkata,Patna,Train-Sleeper,338,8.9,469.2
203,Delhi,Patna,Flight,5401,2.2,853.4
204,Delhi,Patna,Train-AC,1507,16.4,853.4
205,Delhi,Patna,Train-Sleeper,673,16.4,853.4
206,Delhi,Jaisalmer,Flight,5030,1.9,648.0
207,Delhi,Jaisalmer,Train-AC,1357,11.1,648.0
208,Delhi,Jaisalmer,Train-Sleeper,518,11.1,648.0
209,Mumbai,Jaisalmer,Flight,5658,2.3,894.7
210,Mumbai,Jaisalmer,Train-AC,1555,16.7,894.7
211,Mumbai,Jaisalmer,Train-Sleeper,719,16.7,894.7
212,Mumbai,New Delhi,Flight,8235,2.6,1148.1
213,Mumbai,New Delhi,Train-AC,1579,22.5,1148.1
214,Mumbai,New Delhi,Train-Sleeper,723,22.5,1148.1
215,Bangalore,New Delhi,Flight,10617,3.5,1739.8
216,Bangalore,New Delhi,Train-AC,3567,29.9,1739.8
217,Bangalore,New Delhi,Train-Sleeper,1100,29.9,1739.8
218,Kolkata,Cherrapunji,Flight,3987,1.7,455.1
219,Kolkata,Cherrapunji,Train-AC,1017,8.4,455.1
220,Kolkata,Cherrapunji,Train-Sleeper,411,8.4,455.1
221,Delhi,Cherrapunji,Flight,10805,3.1,1485.8
222,Delhi,Cherrapunji,Train-AC,2581,26.0,1485.8
223,Delhi,Cherrapunji,Train-Sleeper,732,26.0,1485.8
224,Kolkata,Itanagar,Flight,4554,1.9,622.4
225,Kolkata,Itanagar,Train-AC,1360,12.7,622.4
226,Kolkata,Itanagar,Train-Sleeper,469,12.7,622.4
227,Delhi,Itanagar,Flight,11751,3.2,1535.1
228,Delhi,Itanagar,Train-AC,2624,30.5,1535.1
229,Delhi,Itanagar,Train-Sleeper,1011,30.5,1535.1
230,Kolkata,Tawang,Flight,4330,1.9,659.2
231,Kolkata,Tawang,Train-AC,1244,12.6,659.2
232,Kolkata,Tawang,Train-Sleeper,435,12.6,659.2
233,Delhi,Tawang,Flight,8298,3.1,1440.7
234,Delhi,Tawang,Train-AC,2423,27.8,1440.7
235,Delhi,Tawang,Train-Sleeper,963,27.8,1440.7
236,Delhi,Kaithal,Flight,3089,1.4,255.1
237,Delhi,Kaithal,Train-AC,522,4.5,255.1
238,Delhi,Kaithal,Train-Sleeper,230,4.5,255.1
239,Mumbai,Kaithal,Flight,8198,3.0,1394.7
240,Mumbai,Kaithal,Train-AC,2983,24.6,1394.7
241,Mumbai,Kaithal,Train-Sleeper,702,24.6,1394.7
242,Kolkata,Kohima,Flight,5796,2.0,728.0
243,Kolkata,Kohima,Train-AC,1216,13.8,728.0
244,Kolkata,Kohima,Train-Sleeper,502,13.8,728.0
245,Delhi,Kohima,Flight,11504,3.4,1697.6
246,Delhi,Kohima,Train-AC,2384,34.4,1697.6
247,Delhi,Kohima,Train-Sleeper,851,34.4,1697.6
248,Delhi,Kumbhalgarh,Flight,3228,1.5,328.5
249,Delhi,Kumbhalgarh,Train-AC,674,6.5,328.5
250,Delhi,Kumbhalgarh,Train-Sleeper,256,6.5,328.5
251,Mumbai,Kumbhalgarh,Flight,8553,2.5,1058.1
252,Mumbai,Kumbhalgarh,Train-AC,1534,18.1,1058.1
253,Mumbai,Kumbhalgarh,Train-Sleeper,590,18.1,1058.1
254,Delhi,Anandpur Sahib,Flight,2968,1.4,289.9
255,Delhi,Anandpur Sahib,Train-AC,663,6.0,289.9
256,Delhi,Anandpur Sahib,Train-Sleeper,279,6.0,289.9
257,Mumbai,Anandpur Sahib,Flight,8514,2.8,1226.4
258,Mumbai,Anandpur Sahib,Train-AC,2579,24.2,1226.4
259,Mumbai,Anandpur Sahib,Train-Sleeper,774,24.2,1226.4
260,Chennai,Port Blair,Flight,8068,2.9,1362.5
261,Chennai,Port Blair,Train-AC,2430,25.0,1362.5
262,Chennai,Port Blair,Train-Sleeper,928,25.0,1362.5
263,Kolkata,Port Blair,Flight,10435,2.9,1302.5
264,Kolkata,Port Blair,Train-AC,2397,25.0,1302.5
265,Kolkata,Port Blair,Train-Sleeper,667,25.0,1302.5
266,Mumbai,Palolem,Flight,3597,1.6,447.3
267,Mumbai,Palolem,Train-AC,982,7.8,447.3
268,Mumbai,Palolem,Train-Sleeper,309,7.8,447.3
269,Bangalore,Palolem,Flight,4111,1.7,459.0
270,Bangalore,Palolem,Train-AC,898,8.7,459.0
271,Bangalore,Palolem,Train-Sleeper,291,8.7,459.0
272,Delhi,Sawai Madhopur,Flight,3192,1.4,300.8
273,Delhi,Sawai Madhopur,Train-AC,562,5.4,300.8
274,Delhi,Sawai Madhopur,Train-Sleeper,231,5.4,300.8
275,Mumbai,Sawai Madhopur,Flight,5777,2.2,850.3
276,Mumbai,Sawai Madhopur,Train-AC,1414,16.8,850.3
277,Mumbai,Sawai Madhopur,Train-Sleeper,584,16.8,850.3
278,Bangalore,Kovalam,Flight,3846,1.7,512.7
279,Bangalore,Kovalam,Train-AC,1044,11.2,512.7
280,Bangalore,Kovalam,Train-Sleeper,323,11.2,512.7
281,Chennai,Kovalam,Flight,4393,1.9,632.7
282,Chennai,Kovalam,Train-AC,1366,11.6,632.7
283,Chennai,Kovalam,Train-Sleeper,457,11.6,632.7
284,Bangalore,Varkala,Flight,3383,1.4,273.3
285,Bangalore,Varkala,Train-AC,719,5.2,273.3
286,Bangalore,Varkala,Train-Sleeper,218,5.2,273.3
287,Chennai,Varkala,Flight,5410,1.8,563.2
288,Chennai,Varkala,Train-AC,1254,12.3,563.2
289,Chennai,Varkala,Train-Sleeper,486,12.3,563.2
290,Delhi,Chandigarh,Flight,2504,1.3,239.3
291,Delhi,Chandigarh,Train-AC,667,4.8,239.3
292,Delhi,Chandigarh,Train-Sleeper,231,4.8,239.3
293,Mumbai,Chandigarh,Flight,9952,2.9,1354.3
294,Mumbai,Chandigarh,Train-AC,2216,22.7,1354.3
295,Mumbai,Chandigarh,Train-Sleeper,651,22.7,1354.3
296,Chennai,Havelock Island,Flight,8833,3.0,1384.2
297,Chennai,Havelock Island,Train-AC,1894,29.5,1384.2
298,Chennai,Havelock Island,Train-Sleeper,847,29.5,1384.2
299,Kolkata,Havelock Island,Flight,6672,2.8,1269.9
300,Kolkata,Havelock Island,Train-AC,1937,25.0,1269.9
301,Kolkata,Havelock Island,Train-Sleeper,677,25.0,1269.9
302,Delhi,Bilaspur,Flight,7640,2.3,931.5
303,Delhi,Bilaspur,Train-AC,2020,19.2,931.5
304,Delhi,Bilaspur,Train-Sleeper,748,19.2,931.5
305,Hyderabad,Bilaspur,Flight,5962,2.1,803.4
306,Hyderabad,Bilaspur,Train-AC,1711,14.1,803.4
307,Hyderabad,Bilaspur,Train-Sleeper,447,14.1,803.4
308,Delhi,Jagdalpur,Flight,7466,2.4,1014.4
309,Delhi,Jagdalpur,Train-AC,1422,17.7,1014.4
310,Delhi,Jagdalpur,Train-Sleeper,615,17.7,1014.4
311,Hyderabad,Jagdalpur,Flight,4195,1.6,443.0
312,Hyderabad,Jagdalpur,Train-AC,747,9.4,443.0
313,Hyderabad,Jagdalpur,Train-Sleeper,390,9.4,443.0
314,Ahmedabad,Saputara,Flight,2718,1.3,230.1
315,Ahmedabad,Saputara,Train-AC,638,4.6,230.1
316,Ahmedabad,Saputara,Train-Sleeper,253,4.6,230.1
317,Mumbai,Saputara,Flight,4642,1.9,640.0
318,Mumbai,Saputara,Train-AC,1121,13.8,640.0
319,Mumbai,Saputara,Train-Sleeper,373,13.8,640.0
320,Delhi,Panna,Flight,3477,1.7,463.6
321,Delhi,Panna,Train-AC,764,8.8,463.6
322,Delhi,Panna,Train-Sleeper,404,8.8,463.6
323,Mumbai,Panna,Flight,5388,2.3,917.4
324,Mumbai,Panna,Train-AC,1466,20.1,917.4
325,Mumbai,Panna,Train-Sleeper,575,20.1,917.4
326,Delhi,Bhopal,Flight,4457,1.9,595.7
327,Delhi,Bhopal,Train-AC,1128,13.0,595.7
328,Delhi,Bhopal,Train-Sleeper,498,13.0,595.7
329,Mumbai,Bhopal,Flight,4518,1.9,661.4
330,Mumbai,Bhopal,Train-AC,1399,13.3,661.4
331,Mumbai,Bhopal,Train-Sleeper,416,13.3,661.4
332,Mumbai,Arambol,Flight,3794,1.7,461.3
333,Mumbai,Arambol,Train-AC,1053,8.5,461.3
334,Mumbai,Arambol,Train-Sleeper,411,8.5,461.3
335,Bangalore,Arambol,Flight,3535,1.7,474.7
336,Bangalore,Arambol,Train-AC,923,10.4,474.7
337,Bangalore,Arambol,Train-Sleeper,367,10.4,474.7
338,Bangalore,Kabini,Flight,3635,1.5,377.7
339,Bangalore,Kabini,Train-AC,836,8.0,377.7
340,Bangalore,Kabini,Train-Sleeper,298,8.0,377.7
341,Chennai,Kabini,Flight,5078,1.8,542.8
342,Chennai,Kabini,Train-AC,898,9.6,542.8
343,Chennai,Kabini,Train-Sleeper,359,9.6,542.8
344,Bangalore,Mysore,Train-AC,394,2.8,128.0
345,Bangalore,Mysore,Train-Sleeper,169,2.8,128.0
346,Chennai,Mysore,Flight,3964,1.6,403.5
347,Chennai,Mysore,Train-AC,987,8.3,403.5
348,Chennai,Mysore,Train-Sleeper,278,8.3,403.5
349,Delhi,Sirpur,Flight,8307,3.0,1371.1
350,Delhi,Sirpur,Train-AC,2213,27.8,1371.1
351,Delhi,Sirpur,Train-Sleeper,1050,27.8,1371.1
352,Hyderabad,Sirpur,Flight,4850,1.9,595.2
353,Hyderabad,Sirpur,Train-AC,1013,12.9,595.2
354,Hyderabad,Sirpur,Train-Sleeper,387,12.9,595.2
355,Mumbai,Kolhapur,Flight,2819,1.4,300.6
356,Mumbai,Kolhapur,Train-AC,678,5.5,300.6
357,Mumbai,Kolhapur,Train-Sleeper,299,5.5,300.6
358,Pune,Kolhapur,Flight,2842,1.3,206.0
359,Pune,Kolhapur,Train-AC,493,4.2,206.0
360,Pune,Kolhapur,Train-Sleeper,205,4.2,206.0
361,Delhi,Pahalgam,Flight,5066,2.0,719.9
362,Delhi,Pahalgam,Train-AC,1091,15.5,719.9
363,Delhi,Pahalgam,Train-Sleeper,532,15.5,719.9
364,Mumbai,Pahalgam,Flight,11629,3.5,1715.2
365,Mumbai,Pahalgam,Train-AC,3393,37.2,1715.2
366,Mumbai,Pahalgam,Train-Sleeper,1050,37.2,1715.2
367,Delhi,Sattal,Flight,3406,1.5,358.3
368,Delhi,Sattal,Train-AC,710,7.4,358.3
369,Delhi,Sattal,Train-Sleeper,271,7.4,358.3
370,Mumbai,Sattal,Flight,9474,3.1,1502.4
371,Mumbai,Sattal,Train-AC,2133,27.2,1502.4
372,Mumbai,Sattal,Train-Sleeper,819,27.2,1502.4
373,Chennai,Pichavaram,Flight,2641,1.4,246.3
374,Chennai,Pichavaram,Train-AC,548,4.3,246.3
375,Chennai,Pichavaram,Train-Sleeper,236,4.3,246.3
376,Bangalore,Pichavaram,Train-AC,278,0.9,45.8
377,Bangalore,Pichavaram,Train-Sleeper,118,0.9,45.8
378,Chennai,Yercaud,Flight,3028,1.3,244.2
379,Chennai,Yercaud,Train-AC,647,4.1,244.2
380,Chennai,Yercaud,Train-Sleeper,209,4.1,244.2
381,Bangalore,Yercaud,Flight,3181,1.4,245.8
382,Bangalore,Yercaud,Train-AC,506,4.1,245.8
383,Bangalore,Yercaud,Train-Sleeper,256,4.1,245.8
384,Hyderabad,Nagarjuna Sagar,Train-AC,364,1.6,84.8
385,Hyderabad,Nagarjuna Sagar,Train-Sleeper,155,1.6,84.8
386,Bangalore,Nagarjuna Sagar,Flight,3840,1.6,421.6
387,Bangalore,Nagarjuna Sagar,Train-AC,896,7.5,421.6
388,Bangalore,Nagarjuna Sagar,Train-Sleeper,383,7.5,421.6
389,Delhi,Ramnagar,Flight,3488,1.5,343.5
390,Delhi,Ramnagar,Train-AC,613,6.4,343.5
391,Delhi,Ramnagar,Train-Sleeper,295,6.4,343.5
392,Mumbai,Ramnagar,Flight,8506,3.1,1446.3
393,Mumbai,Ramnagar,Train-AC,2940,24.3,1446.3
394,Mumbai,Ramnagar,Train-Sleeper,790,24.3,1446.3
395,Delhi,Kolkata,Flight,6674,2.4,958.7
396,Delhi,Kolkata,Train-AC,1958,19.4,958.7
397,Delhi,Kolkata,Train-Sleeper,688,19.4,958.7
398,Kolkata,Sundarbans,Train-AC,424,2.4,130.7
399,Kolkata,Sundarbans,Train-Sleeper,161,2.4,130.7
400,Delhi,Sundarbans,Flight,8684,3.0,1434.3
401,Delhi,Sundarbans,Train-AC,2852,26.6,1434.3
402,Delhi,Sundarbans,Train-Sleeper,941,26.6,1434.3
