attraction_id,destination_name,state,attraction_name,category,entry_fee_indian_inr,entry_fee_foreigner_inr,avg_visit_duration_hrs,rating,description
83,Marari Beach,Kerala,Marari Beach Local Market,Market,0,0,2.0,4.4,"Market in Marari Beach, Kerala."
84,Idukki,Kerala,Idukki Heritage Walk,Heritage Site,30,270,3.0,4.5,"Heritage Site in Idukki, Kerala."
85,Silent Valley,Kerala,Silent Valley Old Town,Heritage Site,40,360,1.0,3.8,"Heritage Site in Silent Valley, Kerala."
86,Palakkad,Kerala,Palakkad Local Market,Market,0,0,0.5,4.5,"Market in Palakkad, Kerala."
87,Kasaragod,Kerala,Kasaragod Viewpoint,Viewpoint,20,20,1.5,3.8,"Viewpoint in Kasaragod, Kerala."
88,Kasaragod,Kerala,Kasaragod Local Market,Market,0,0,3.0,3.6,"Market in Kasaragod, Kerala."
89,Nelliyampathy,Kerala,Nelliyampathy Viewpoint,Viewpoint,0,0,1.5,4.2,"Viewpoint in Nelliyampathy, Kerala."
90,Ponmudi,Kerala,Ponmudi Local Market,Market,0,0,0.5,4.6,"Market in Ponmudi, Kerala."
91,Ponmudi,Kerala,Ponmudi Community Museum,Museum,50,300,1.0,4.2,"Museum in Ponmudi, Kerala."
92,Shimla,Himachal Pradesh,The Ridge,Landmark,0,0,0.5,4.2,"Landmark in Shimla, Himachal Pradesh."
93,Shimla,Himachal Pradesh,Jakhoo Temple,Temple,0,0,2.5,4.2,"Temple in Shimla, Himachal Pradesh."
94,Manali,Himachal Pradesh,Hadimba Temple,Temple,0,0,2.0,4.0,"Temple in Manali, Himachal Pradesh."
95,Manali,Himachal Pradesh,Solang Valley,Viewpoint,30,30,3.0,3.7,"Viewpoint in Manali, Himachal Pradesh."
96,Dharamshala,Himachal Pradesh,Namgyal Monastery,Monastery,0,0,0.5,4.7,"Monastery in Dharamshala, Himachal Pradesh."
97,McLeod Ganj,Himachal Pradesh,Bhagsu Falls,Waterfall,0,0,0.5,3.9,"Waterfall in McLeod Ganj, Himachal Pradesh."
98,McLeod Ganj,Himachal Pradesh,Dalai Lama Temple Complex,Temple,0,0,1.5,4.0,"Temple in McLeod Ganj, Himachal Pradesh."
99,Kasauli,Himachal Pradesh,Kasauli Heritage Walk,Heritage Site,30,390,2.0,4.2,"Heritage Site in Kasauli, Himachal Pradesh."
100,Dalhousie,Himachal Pradesh,Dalhousie Community Museum,Museum,20,120,1.0,4.3,"Museum in Dalhousie, Himachal Pradesh."
101,Kufri,Himachal Pradesh,Kufri Community Museum,Museum,20,120,2.0,4.1,"Museum in Kufri, Himachal Pradesh."
102,Chail,Himachal Pradesh,Chail Viewpoint,Viewpoint,0,0,0.5,3.8,"Viewpoint in Chail, Himachal Pradesh."
103,Chail,Himachal Pradesh,Chail Local Market,Market,0,0,3.0,3.3,"Market in Chail, Himachal Pradesh."
104,Kasol,Himachal Pradesh,Kasol Riverside,Landmark,30,30,2.5,4.1,"Landmark in Kasol, Himachal Pradesh."
105,Kaza,Himachal Pradesh,Kaza Viewpoint,Viewpoint,20,20,0.5,4.5,"Viewpoint in Kaza, Himachal Pradesh."
106,Kaza,Himachal Pradesh,Kaza Local Market,Market,30,30,2.0,4.5,"Market in Kaza, Himachal Pradesh."
107,Sarahan,Himachal Pradesh,Sarahan Viewpoint,Viewpoint,30,30,2.5,4.4,"Viewpoint in Sarahan, Himachal Pradesh."
108,Manikaran,Himachal Pradesh,Manikaran Community Museum,Museum,50,350,3.0,4.3,"Museum in Manikaran, Himachal Pradesh."
109,Manikaran,Himachal Pradesh,Manikaran Old Town,Heritage Site,40,520,0.5,3.6,"Heritage Site in Manikaran, Himachal Pradesh."
110,Bir,Himachal Pradesh,Bir Heritage Walk,Heritage Site,250,2000,3.0,4.2,"Heritage Site in Bir, Himachal Pradesh."
111,Palampur,Himachal Pradesh,Palampur Heritage Walk,Heritage Site,250,2000,3.0,4.7,"Heritage Site in Palampur, Himachal Pradesh."
112,Solan,Himachal Pradesh,Solan Local Market,Market,0,0,1.0,4.2,"Market in Solan, Himachal Pradesh."
113,Narkanda,Himachal Pradesh,Narkanda Old Town,Heritage Site,30,390,2.5,3.6,"Heritage Site in Narkanda, Himachal Pradesh."
114,Narkanda,Himachal Pradesh,Narkanda Community Museum,Museum,20,140,2.5,4.3,"Museum in Narkanda, Himachal Pradesh."
115,Chamba,Himachal Pradesh,Chamba Old Town,Heritage Site,50,650,1.0,3.8,"Heritage Site in Chamba, Himachal Pradesh."
116,Chamba,Himachal Pradesh,Chamba Viewpoint,Viewpoint,30,30,1.0,4.2,"Viewpoint in Chamba, Himachal Pradesh."
117,Khajjiar,Himachal Pradesh,Khajjiar Local Market,Market,30,30,1.5,4.5,"Market in Khajjiar, Himachal Pradesh."
118,Nahan,Himachal Pradesh,Nahan Community Museum,Museum,50,300,1.5,4.5,"Museum in Nahan, Himachal Pradesh."
119,Nahan,Himachal Pradesh,Nahan Old Town,Heritage Site,30,360,1.5,4.3,"Heritage Site in Nahan, Himachal Pradesh."
120,Mandi,Himachal Pradesh,Mandi Local Market,Market,0,0,2.5,3.5,"Market in Mandi, Himachal Pradesh."
121,Kalpa,Himachal Pradesh,Kalpa Community Museum,Museum,30,240,1.0,4.1,"Museum in Kalpa, Himachal Pradesh."
122,Kalpa,Himachal Pradesh,Kalpa Local Market,Market,20,20,3.0,3.9,"Market in Kalpa, Himachal Pradesh."
123,Barot,Himachal Pradesh,Barot Viewpoint,Viewpoint,30,30,1.5,4.8,"Viewpoint in Barot, Himachal Pradesh."
124,Barot,Himachal Pradesh,Barot Heritage Walk,Heritage Site,50,650,1.5,4.1,"Heritage Site in Barot, Himachal Pradesh."
125,Tirthan Valley,Himachal Pradesh,Tirthan Valley Viewpoint,Viewpoint,20,20,1.0,3.8,"Viewpoint in Tirthan Valley, Himachal Pradesh."
126,Tirthan Valley,Himachal Pradesh,Tirthan Valley Heritage Walk,Heritage Site,250,2500,2.5,4.0,"Heritage Site in Tirthan Valley, Himachal Pradesh."
127,Jibhi,Himachal Pradesh,Jibhi Heritage Walk,Heritage Site,250,3000,1.0,3.9,"Heritage Site in Jibhi, Himachal Pradesh."
128,Nainital,Uttarakhand,Naini Lake,Lake,0,0,1.0,4.1,"Lake in Nainital, Uttarakhand."
129,Nainital,Uttarakhand,Naina Devi Temple,Temple,0,0,1.0,4.5,"Temple in Nainital, Uttarakhand."
130,Mussoorie,Uttarakhand,Kempty Falls,Waterfall,20,20,1.5,4.9,"Waterfall in Mussoorie, Uttarakhand."
131,Mussoorie,Uttarakhand,Gun Hill,Viewpoint,20,20,2.5,4.4,"Viewpoint in Mussoorie, Uttarakhand."
132,Rishikesh,Uttarakhand,Laxman Jhula,Landmark,30,30,1.0,3.8,"Landmark in Rishikesh, Uttarakhand."
133,Rishikesh,Uttarakhand,Triveni Ghat,Ghat,0,0,1.0,4.6,"Ghat in Rishikesh, Uttarakhand."
134,Haridwar,Uttarakhand,Har Ki Pauri,Ghat,0,0,2.5,4.3,"Ghat in Haridwar, Uttarakhand."
135,Dehradun,Uttarakhand,Dehradun Old Town,Heritage Site,30,420,1.5,3.7,"Heritage Site in Dehradun, Uttarakhand."
136,Auli,Uttarakhand,Auli Ski Slopes,Adventure Site,0,0,0.5,4.1,"Adventure Site in Auli, Uttarakhand."
137,Almora,Uttarakhand,Almora Old Town,Heritage Site,100,1400,1.0,4.1,"Heritage Site in Almora, Uttarakhand."
138,Almora,Uttarakhand,Almora Viewpoint,Viewpoint,0,0,1.5,3.7,"Viewpoint in Almora, Uttarakhand."
139,Ranikhet,Uttarakhand,Ranikhet Viewpoint,Viewpoint,0,0,1.0,4.0,"Viewpoint in Ranikhet, Uttarakhand."
140,Ranikhet,Uttarakhand,Ranikhet Community Museum,Museum,20,120,0.5,4.2,"Museum in Ranikhet, Uttarakhand."
141,Kausani,Uttarakhand,Kausani Community Museum,Museum,20,120,1.0,4.2,"Museum in Kausani, Uttarakhand."
142,Lansdowne,Uttarakhand,Lansdowne Community Museum,Museum,20,180,3.0,3.8,"Museum in Lansdowne, Uttarakhand."
143,Ramnagar,Uttarakhand,Ramnagar Local Market,Market,0,0,2.5,3.8,"Market in Ramnagar, Uttarakhand."
144,Ramnagar,Uttarakhand,Ramnagar Community Museum,Museum,30,210,2.5,4.4,"Museum in Ramnagar, Uttarakhand."
145,Kedarnath,Uttarakhand,Kedarnath Community Museum,Museum,30,150,1.5,4.3,"Museum in Kedarnath, Uttarakhand."
146,Badrinath,Uttarakhand,Badrinath Community Museum,Museum,20,120,3.0,3.8,"Museum in Badrinath, Uttarakhand."
147,Badrinath,Uttarakhand,Badrinath Old Town,Heritage Site,30,270,2.5,3.6,"Heritage Site in Badrinath, Uttarakhand."
148,Gangotri,Uttarakhand,Gangotri Local Market,Market,0,0,1.5,4.5,"Market in Gangotri, Uttarakhand."
149,Yamunotri,Uttarakhand,Yamunotri Viewpoint,Viewpoint,0,0,2.5,4.2,"Viewpoint in Yamunotri, Uttarakhand."
150,Chopta,Uttarakhand,Chopta Heritage Walk,Heritage Site,40,400,3.0,3.6,"Heritage Site in Chopta, Uttarakhand."
151,Chopta,Uttarakhand,Chopta Old Town,Heritage Site,40,440,1.5,5.0,"Heritage Site in Chopta, Uttarakhand."
152,Munsyari,Uttarakhand,Munsyari Old Town,Heritage Site,40,360,1.0,3.9,"Heritage Site in Munsyari, Uttarakhand."
153,Munsyari,Uttarakhand,Munsyari Local Market,Market,30,30,1.0,3.9,"Market in Munsyari, Uttarakhand."
154,Bhimtal,Uttarakhand,Bhimtal Local Market,Market,30,30,2.5,4.0,"Market in Bhimtal, Uttarakhand."
155,Sattal,Uttarakhand,Sattal Community Museum,Museum,30,210,1.0,3.8,"Museum in Sattal, Uttarakhand."
156,Pithoragarh,Uttarakhand,Pithoragarh Viewpoint,Viewpoint,20,20,2.0,4.4,"Viewpoint in Pithoragarh, Uttarakhand."
157,Joshimath,Uttarakhand,Joshimath Old Town,Heritage Site,40,440,0.5,4.2,"Heritage Site in Joshimath, Uttarakhand."
158,Jageshwar,Uttarakhand,Jageshwar Heritage Walk,Heritage Site,40,440,2.0,4.4,"Heritage Site in Jageshwar, Uttarakhand."
159,Jageshwar,Uttarakhand,Jageshwar Local Market,Market,30,30,2.5,4.7,"Market in Jageshwar, Uttarakhand."
160,Gopeshwar,Uttarakhand,Gopeshwar Local Market,Market,0,0,2.0,3.8,"Market in Gopeshwar, Uttarakhand."
161,Srinagar,Jammu and Kashmir,Dal Lake,Lake,20,20,1.5,3.8,"Lake in Srinagar, Jammu and Kashmir."
162,Srinagar,Jammu and Kashmir,Mughal Gardens,Park,0,0,2.5,3.6,"Park in Srinagar, Jammu and Kashmir."
163,Gulmarg,Jammu and Kashmir,Gulmarg Gondola,Cable Car,1000,1000,0.5,4.8,"Cable Car in Gulmarg, Jammu and Kashmir."
164,Pahalgam,Jammu and Kashmir,Pahalgam Heritage Walk,Heritage Site,50,550,0.5,4.1,"Heritage Site in Pahalgam, Jammu and Kashmir."
165,Sonamarg,Jammu and Kashmir,Sonamarg Local Market,Market,0,0,1.5,4.4,"Market in Sonamarg, Jammu and Kashmir."
166,Jammu,Jammu and Kashmir,Jammu Heritage Walk,Heritage Site,40,320,2.0,4.5,"Heritage Site in Jammu, Jammu and Kashmir."
167,Jammu,Jammu and Kashmir,Jammu Local Market,Market,0,0,0.5,3.8,"Market in Jammu, Jammu and Kashmir."
168,Katra,Jammu and Kashmir,Katra Local Market,Market,0,0,0.5,4.5,"Market in Katra, Jammu and Kashmir."
169,Katra,Jammu and Kashmir,Katra Heritage Walk,Heritage Site,250,3500,2.0,4.4,"Heritage Site in Katra, Jammu and Kashmir."
170,Patnitop,Jammu and Kashmir,Patnitop Old Town,Heritage Site,100,900,0.5,4.7,"Heritage Site in Patnitop, Jammu and Kashmir."
171,Yusmarg,Jammu and Kashmir,Yusmarg Community Museum,Museum,50,450,2.0,4.3,"Museum in Yusmarg, Jammu and Kashmir."
172,Yusmarg,Jammu and Kashmir,Yusmarg Local Market,Market,0,0,3.0,4.3,"Market in Yusmarg, Jammu and Kashmir."
173,Doda,Jammu and Kashmir,Doda Viewpoint,Viewpoint,20,20,1.0,4.0,"Viewpoint in Doda, Jammu and Kashmir."
174,Doda,Jammu and Kashmir,Doda Community Museum,Museum,30,240,2.5,4.2,"Museum in Doda, Jammu and Kashmir."
175,Anantnag,Jammu and Kashmir,Anantnag Local Market,Market,0,0,1.5,4.1,"Market in Anantnag, Jammu and Kashmir."
176,Baramulla,Jammu and Kashmir,Baramulla Viewpoint,Viewpoint,20,20,2.5,4.0,"Viewpoint in Baramulla, Jammu and Kashmir."
177,Baramulla,Jammu and Kashmir,Baramulla Community Museum,Museum,20,160,1.0,4.4,"Museum in Baramulla, Jammu and Kashmir."
178,Kishtwar,Jammu and Kashmir,Kishtwar Old Town,Heritage Site,40,400,1.0,4.2,"Heritage Site in Kishtwar, Jammu and Kashmir."
179,Leh,Ladakh,Leh Palace,Monument,250,2250,0.5,3.8,"Monument in Leh, Ladakh."
180,Leh,Ladakh,Shanti Stupa,Monument,250,3250,1.5,4.9,"Monument in Leh, Ladakh."
181,Nubra Valley,Ladakh,Nubra Valley Old Town,Heritage Site,100,1300,1.5,3.8,"Heritage Site in Nubra Valley, Ladakh."
182,Pangong Lake,Ladakh,Pangong Lake Viewpoint,Viewpoint,0,0,1.5,3.9,"Viewpoint in Pangong Lake, Ladakh."
183,Pangong Lake,Ladakh,Pangong Lake Heritage Walk,Heritage Site,40,520,1.0,4.2,"Heritage Site in Pangong Lake, Ladakh."
184,Kargil,Ladakh,Kargil Old Town,Heritage Site,250,2250,1.0,4.6,"Heritage Site in Kargil, Ladakh."
185,Zanskar,Ladakh,Zanskar Heritage Walk,Heritage Site,50,450,0.5,4.4,"Heritage Site in Zanskar, Ladakh."
186,Diskit,Ladakh,Diskit Heritage Walk,Heritage Site,100,900,2.5,4.1,"Heritage Site in Diskit, Ladakh."
187,Turtuk,Ladakh,Turtuk Viewpoint,Viewpoint,20,20,3.0,4.8,"Viewpoint in Turtuk, Ladakh."
188,Agra,Uttar Pradesh,Taj Mahal,Monument,50,550,3.0,4.1,"Monument in Agra, Uttar Pradesh."
189,Agra,Uttar Pradesh,Agra Fort,Fort,30,420,2.0,3.4,"Fort in Agra, Uttar Pradesh."
190,Agra,Uttar Pradesh,Fatehpur Sikri,Heritage Site,250,2250,2.0,4.2,"Heritage Site in Agra, Uttar Pradesh."
191,Varanasi,Uttar Pradesh,Kashi Vishwanath Temple,Temple,0,0,0.5,3.9,"Temple in Varanasi, Uttar Pradesh."
192,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Ghat,0,0,0.5,4.0,"Ghat in Varanasi, Uttar Pradesh."
193,Varanasi,Uttar Pradesh,Sarnath Stupa,Heritage Site,250,2500,2.0,4.3,"Heritage Site in Varanasi, Uttar Pradesh."
194,Lucknow,Uttar Pradesh,Lucknow Heritage Walk,Heritage Site,50,400,0.5,4.4,"Heritage Site in Lucknow, Uttar Pradesh."
195,Lucknow,Uttar Pradesh,Lucknow Community Museum,Museum,50,350,0.5,4.0,"Museum in Lucknow, Uttar Pradesh."
196,Mathura,Uttar Pradesh,Mathura Heritage Walk,Heritage Site,50,450,1.5,4.1,"Heritage Site in Mathura, Uttar Pradesh."
197,Mathura,Uttar Pradesh,Mathura Local Market,Market,0,0,2.5,3.6,"Market in Mathura, Uttar Pradesh."
198,Vrindavan,Uttar Pradesh,Vrindavan Old Town,Heritage Site,40,360,3.0,4.3,"Heritage Site in Vrindavan, Uttar Pradesh."
199,Vrindavan,Uttar Pradesh,Vrindavan Viewpoint,Viewpoint,0,0,3.0,3.7,"Viewpoint in Vrindavan, Uttar Pradesh."
200,Fatehpur Sikri,Uttar Pradesh,Fatehpur Sikri Local Market,Market,30,30,1.5,4.5,"Market in Fatehpur Sikri, Uttar Pradesh."
201,Ayodhya,Uttar Pradesh,Ayodhya Local Market,Market,0,0,1.0,3.6,"Market in Ayodhya, Uttar Pradesh."
202,Ayodhya,Uttar Pradesh,Ayodhya Heritage Walk,Heritage Site,50,450,2.5,4.5,"Heritage Site in Ayodhya, Uttar Pradesh."
203,Prayagraj,Uttar Pradesh,Prayagraj Local Market,Market,30,30,3.0,3.8,"Market in Prayagraj, Uttar Pradesh."
204,Prayagraj,Uttar Pradesh,Prayagraj Viewpoint,Viewpoint,0,0,1.5,4.3,"Viewpoint in Prayagraj, Uttar Pradesh."
205,Sarnath,Uttar Pradesh,Sarnath Viewpoint,Viewpoint,20,20,3.0,4.0,"Viewpoint in Sarnath, Uttar Pradesh."
206,Sarnath,Uttar Pradesh,Sarnath Heritage Walk,Heritage Site,40,320,3.0,4.3,"Heritage Site in Sarnath, Uttar Pradesh."
207,Jhansi,Uttar Pradesh,Jhansi Heritage Walk,Heritage Site,100,1300,2.0,4.8,"Heritage Site in Jhansi, Uttar Pradesh."
208,Chitrakoot,Uttar Pradesh,Chitrakoot Old Town,Heritage Site,40,320,2.0,4.2,"Heritage Site in Chitrakoot, Uttar Pradesh."
209,Kanpur,Uttar Pradesh,Kanpur Community Museum,Museum,20,180,3.0,4.2,"Museum in Kanpur, Uttar Pradesh."
210,Kushinagar,Uttar Pradesh,Kushinagar Old Town,Heritage Site,250,2000,0.5,4.4,"Heritage Site in Kushinagar, Uttar Pradesh."
