destination_id,name,state,region,category,best_months,avg_summer_temp_c,avg_winter_temp_c,ideal_days,popularity_score,avg_daily_budget_inr,latitude,longitude,description
34,Churu,Rajasthan,West,Heritage,Oct-Mar,37,21,1,6,2188,24.1637,77.4073,"Heritage destination in Rajasthan, known for its heritage appeal."
35,Munnar,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",17,9,5,9,3290,11.2521,74.9127,"Hill Station destination in Kerala, known for its hill station appeal."
36,Alleppey,Kerala,South,Backwaters,Sep-Mar,28,23,3,8,3764,9.2316,76.6804,"Backwaters destination in Kerala, known for its backwaters appeal."
37,Kochi,Kerala,South,Urban,Nov-Feb,28,25,2,9,3490,11.1883,77.0231,"Urban destination in Kerala, known for its urban appeal."
38,Kumarakom,Kerala,South,Backwaters,Sep-Mar,27,22,4,5,2810,9.3521,76.3747,"Backwaters destination in Kerala, known for its backwaters appeal."
39,Thekkady,Kerala,South,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",35,11,3,5,2205,9.8104,76.5128,"Wildlife destination in Kerala, known for its wildlife appeal."
40,Wayanad,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",14,0,3,5,2643,11.7353,75.009,"Hill Station destination in Kerala, known for its hill station appeal."
41,Kovalam,Kerala,South,Beach,Oct-Mar,31,24,3,7,3338,12.2641,76.7693,"Beach destination in Kerala, known for its beach appeal."
42,Varkala,Kerala,South,Beach,Oct-Mar,32,25,2,7,3652,12.7095,75.0884,"Beach destination in Kerala, known for its beach appeal."
43,Thiruvananthapuram,Kerala,South,Urban,Nov-Feb,32,24,4,3,1653,8.9797,76.292,"Urban destination in Kerala, known for its urban appeal."
44,Kozhikode,Kerala,South,Urban,Nov-Feb,34,25,3,5,2297,8.647,76.4375,"Urban destination in Kerala, known for its urban appeal."
45,Bekal,Kerala,South,Beach,Oct-Mar,29,27,4,4,2894,11.6075,76.6425,"Beach destination in Kerala, known for its beach appeal."
46,Vagamon,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",19,2,3,4,2513,11.9265,77.0677,"Hill Station destination in Kerala, known for its hill station appeal."
47,Athirappilly,Kerala,South,Adventure,"Apr-Jun, Sep-Nov",20,1,5,3,2271,9.0937,75.0774,"Adventure destination in Kerala, known for its adventure appeal."
48,Kannur,Kerala,South,Beach,Oct-Mar,31,23,4,6,3326,10.217,76.5801,"Beach destination in Kerala, known for its beach appeal."
49,Kollam,Kerala,South,Backwaters,Sep-Mar,29,22,3,7,3635,12.1579,75.5256,"Backwaters destination in Kerala, known for its backwaters appeal."
50,Poovar,Kerala,South,Backwaters,Sep-Mar,28,27,4,5,2397,10.6023,76.825,"Backwaters destination in Kerala, known for its backwaters appeal."
51,Marari Beach,Kerala,South,Beach,Oct-Mar,31,24,2,6,3583,9.0941,75.9284,"Beach destination in Kerala, known for its beach appeal."
52,Idukki,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",16,2,3,4,2311,9.6856,76.888,"Hill Station destination in Kerala, known for its hill station appeal."
53,Silent Valley,Kerala,South,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",32,18,2,4,1715,12.6282,76.99,"Wildlife destination in Kerala, known for its wildlife appeal."
54,Palakkad,Kerala,South,Heritage,Nov-Feb,28,23,1,3,1578,8.9196,75.5256,"Heritage destination in Kerala, known for its heritage appeal."
55,Kasaragod,Kerala,South,Beach,Oct-Mar,28,25,2,3,2585,11.5943,76.2859,"Beach destination in Kerala, known for its beach appeal."
56,Nelliyampathy,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",19,8,5,5,2391,9.8375,76.7946,"Hill Station destination in Kerala, known for its hill station appeal."
57,Ponmudi,Kerala,South,Hill Station,"Mar-Jun, Sep-Nov",22,8,4,6,2483,8.3874,77.0387,"Hill Station destination in Kerala, known for its hill station appeal."
58,Shimla,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",17,0,4,7,3154,31.7731,76.1889,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
59,Manali,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",18,2,4,7,3588,32.9714,76.487,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
60,Dharamshala,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",23,5,5,4,2300,31.9642,77.9255,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
61,McLeod Ganj,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",21,2,4,3,2234,32.2456,78.3232,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
62,Kasauli,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",15,-2,3,3,2200,32.7799,77.7282,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
63,Dalhousie,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",14,-4,4,5,2351,30.6011,75.9426,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
64,Kufri,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",9,2,6,4,2637,30.6064,76.6845,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
65,Chail,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",23,5,4,4,2134,31.8385,77.9558,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
66,Kasol,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",9,2,6,7,2962,31.612,78.8898,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
67,Kaza,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",11,-1,4,3,2232,32.0702,78.0876,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
68,Sarahan,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",17,-3,3,7,2914,32.3715,78.1157,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
69,Manikaran,Himachal Pradesh,North,Pilgrimage,Oct-Mar,36,12,2,3,1768,31.84,76.9247,"Pilgrimage destination in Himachal Pradesh, known for its pilgrimage appeal."
70,Bir,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",20,0,6,3,1894,33.1798,78.4803,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
71,Palampur,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",22,2,4,6,2938,32.2323,77.1247,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
72,Solan,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",16,7,3,6,3023,32.5819,78.2914,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
73,Narkanda,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",22,2,3,7,3157,30.5669,77.4684,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
74,Chamba,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",18,-2,5,7,3021,30.7395,76.0862,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
75,Khajjiar,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",23,5,3,7,3483,31.6357,76.3568,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
76,Nahan,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",22,-3,5,4,2056,31.8886,76.393,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
77,Mandi,Himachal Pradesh,North,Heritage,Oct-Mar,41,4,2,6,2302,33.0323,77.6124,"Heritage destination in Himachal Pradesh, known for its heritage appeal."
78,Kalpa,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",17,1,5,5,2802,32.0194,77.0424,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
79,Barot,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",17,-8,6,5,2604,31.5751,77.543,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
80,Tirthan Valley,Himachal Pradesh,North,Adventure,"Apr-Jun, Sep-Nov",11,1,7,7,3770,32.5582,77.9155,"Adventure destination in Himachal Pradesh, known for its adventure appeal."
81,Jibhi,Himachal Pradesh,North,Hill Station,"Mar-Jun, Sep-Nov",22,7,3,3,2235,31.0484,78.875,"Hill Station destination in Himachal Pradesh, known for its hill station appeal."
82,Nainital,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",18,1,3,5,2912,29.4084,79.9644,"Hill Station destination in Uttarakhand, known for its hill station appeal."
83,Mussoorie,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",22,-3,5,3,1841,29.5246,80.9858,"Hill Station destination in Uttarakhand, known for its hill station appeal."
84,Rishikesh,Uttarakhand,North,Adventure,"Apr-Jun, Sep-Nov",13,-5,6,9,4351,31.2627,80.8596,"Adventure destination in Uttarakhand, known for its adventure appeal."
85,Haridwar,Uttarakhand,North,Pilgrimage,Oct-Mar,41,9,1,9,2927,30.5112,78.9201,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
86,Dehradun,Uttarakhand,North,Urban,Oct-Mar,35,8,2,6,2864,30.6549,79.4227,"Urban destination in Uttarakhand, known for its urban appeal."
87,Auli,Uttarakhand,North,Adventure,"Apr-Jun, Sep-Nov",8,-6,7,7,3628,29.1553,80.6972,"Adventure destination in Uttarakhand, known for its adventure appeal."
88,Almora,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",19,-3,5,7,3270,29.8711,80.7713,"Hill Station destination in Uttarakhand, known for its hill station appeal."
89,Ranikhet,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",15,6,3,7,2713,29.7541,80.3559,"Hill Station destination in Uttarakhand, known for its hill station appeal."
90,Kausani,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",14,6,3,4,2217,31.4158,80.4632,"Hill Station destination in Uttarakhand, known for its hill station appeal."
91,Lansdowne,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",14,-3,3,5,2303,28.7383,77.8562,"Hill Station destination in Uttarakhand, known for its hill station appeal."
92,Ramnagar,Uttarakhand,North,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",30,13,2,7,3159,30.2552,80.2146,"Wildlife destination in Uttarakhand, known for its wildlife appeal."
93,Kedarnath,Uttarakhand,North,Pilgrimage,Oct-Mar,38,13,2,5,2079,29.9615,78.0391,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
94,Badrinath,Uttarakhand,North,Pilgrimage,Oct-Mar,36,7,2,3,1840,30.4308,78.8178,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
95,Gangotri,Uttarakhand,North,Pilgrimage,Oct-Mar,41,10,2,4,2012,30.8625,79.3686,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
96,Yamunotri,Uttarakhand,North,Pilgrimage,Oct-Mar,34,9,1,5,2184,29.0752,77.6979,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
97,Chopta,Uttarakhand,North,Adventure,"Apr-Jun, Sep-Nov",12,-6,5,4,2728,31.2288,79.6987,"Adventure destination in Uttarakhand, known for its adventure appeal."
98,Munsyari,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",15,1,4,4,2394,30.2535,77.9094,"Hill Station destination in Uttarakhand, known for its hill station appeal."
99,Bhimtal,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",15,-1,3,3,2183,29.8103,79.7151,"Hill Station destination in Uttarakhand, known for its hill station appeal."
100,Sattal,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",16,-4,3,7,2827,31.2944,79.2732,"Hill Station destination in Uttarakhand, known for its hill station appeal."
101,Pithoragarh,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",17,3,3,4,2383,29.6728,78.311,"Hill Station destination in Uttarakhand, known for its hill station appeal."
102,Joshimath,Uttarakhand,North,Adventure,"Apr-Jun, Sep-Nov",18,5,6,5,2843,29.9883,79.5882,"Adventure destination in Uttarakhand, known for its adventure appeal."
103,Jageshwar,Uttarakhand,North,Pilgrimage,Oct-Mar,39,11,1,5,2502,30.1427,80.9086,"Pilgrimage destination in Uttarakhand, known for its pilgrimage appeal."
104,Gopeshwar,Uttarakhand,North,Hill Station,"Mar-Jun, Sep-Nov",23,-2,5,7,2848,29.4801,78.2018,"Hill Station destination in Uttarakhand, known for its hill station appeal."
105,Srinagar,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",18,1,3,6,2841,32.8158,74.5285,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
106,Gulmarg,Jammu and Kashmir,North,Adventure,"Apr-Jun, Sep-Nov",21,-1,4,8,3231,34.2985,75.0558,"Adventure destination in Jammu and Kashmir, known for its adventure appeal."
107,Pahalgam,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",21,9,5,7,2690,34.4708,73.969,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
108,Sonamarg,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",16,8,5,4,2479,33.6282,75.241,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
109,Jammu,Jammu and Kashmir,North,Pilgrimage,Oct-Mar,41,6,3,5,2516,33.5792,74.8642,"Pilgrimage destination in Jammu and Kashmir, known for its pilgrimage appeal."
110,Katra,Jammu and Kashmir,North,Pilgrimage,Oct-Mar,35,13,2,5,2180,32.5622,75.2748,"Pilgrimage destination in Jammu and Kashmir, known for its pilgrimage appeal."
111,Patnitop,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",23,2,3,3,1838,33.1187,74.0395,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
112,Yusmarg,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",14,8,3,6,2750,33.9221,74.7592,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
113,Doda,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",17,1,4,3,2051,33.2469,74.4749,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
114,Anantnag,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",17,5,4,5,2475,34.7663,75.0115,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
115,Baramulla,Jammu and Kashmir,North,Hill Station,"Mar-Jun, Sep-Nov",14,0,4,7,2833,32.9149,74.1214,"Hill Station destination in Jammu and Kashmir, known for its hill station appeal."
116,Kishtwar,Jammu and Kashmir,North,Adventure,"Apr-Jun, Sep-Nov",18,3,5,3,1912,33.6113,74.6208,"Adventure destination in Jammu and Kashmir, known for its adventure appeal."
117,Leh,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",11,-3,6,7,3332,35.787,79.6948,"Adventure destination in Ladakh, known for its adventure appeal."
118,Nubra Valley,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",13,-5,4,5,3083,34.8583,78.2077,"Adventure destination in Ladakh, known for its adventure appeal."
119,Pangong Lake,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",17,-8,4,6,2848,35.7816,78.9993,"Adventure destination in Ladakh, known for its adventure appeal."
120,Kargil,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",11,-10,7,3,2207,34.8168,79.255,"Adventure destination in Ladakh, known for its adventure appeal."
121,Zanskar,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",13,-6,5,5,3177,33.3864,78.4725,"Adventure destination in Ladakh, known for its adventure appeal."
122,Diskit,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",13,-9,7,4,2536,34.231,76.7078,"Adventure destination in Ladakh, known for its adventure appeal."
123,Turtuk,Ladakh,North,Adventure,"Apr-Jun, Sep-Nov",15,-9,7,3,1950,32.21,76.3251,"Adventure destination in Ladakh, known for its adventure appeal."
124,Agra,Uttar Pradesh,North,Heritage,Oct-Mar,41,9,3,8,2863,29.9419,83.3296,"Heritage destination in Uttar Pradesh, known for its heritage appeal."
125,Varanasi,Uttar Pradesh,North,Pilgrimage,Oct-Mar,35,8,3,6,2278,26.365,84.0484,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
126,Lucknow,Uttar Pradesh,North,Heritage,Oct-Mar,39,11,3,3,1881,29.097,83.2885,"Heritage destination in Uttar Pradesh, known for its heritage appeal."
127,Mathura,Uttar Pradesh,North,Pilgrimage,Oct-Mar,38,8,3,5,2340,29.8011,79.4715,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
128,Vrindavan,Uttar Pradesh,North,Pilgrimage,Oct-Mar,42,5,3,5,2333,27.4086,80.3906,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
129,Fatehpur Sikri,Uttar Pradesh,North,Heritage,Oct-Mar,34,12,1,3,1693,27.3571,77.5996,"Heritage destination in Uttar Pradesh, known for its heritage appeal."
130,Ayodhya,Uttar Pradesh,North,Pilgrimage,Oct-Mar,41,6,3,5,2203,26.0633,82.5791,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
131,Prayagraj,Uttar Pradesh,North,Pilgrimage,Oct-Mar,37,4,2,5,2444,24.8859,79.4379,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
132,Sarnath,Uttar Pradesh,North,Pilgrimage,Oct-Mar,38,14,3,3,1505,27.6043,82.8184,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
133,Jhansi,Uttar Pradesh,North,Heritage,Oct-Mar,34,9,2,7,2428,29.4019,78.0562,"Heritage destination in Uttar Pradesh, known for its heritage appeal."
134,Chitrakoot,Uttar Pradesh,North,Pilgrimage,Oct-Mar,41,11,1,7,2526,28.5946,82.5003,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
135,Kanpur,Uttar Pradesh,North,Urban,Oct-Mar,36,6,3,5,2316,29.2742,84.2931,"Urban destination in Uttar Pradesh, known for its urban appeal."
136,Kushinagar,Uttar Pradesh,North,Pilgrimage,Oct-Mar,41,9,2,4,2268,24.8968,81.4967,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
137,Shravasti,Uttar Pradesh,North,Pilgrimage,Oct-Mar,35,12,1,6,2569,24.5644,83.9906,"Pilgrimage destination in Uttar Pradesh, known for its pilgrimage appeal."
138,Ahmedabad,Gujarat,West,Heritage,Oct-Mar,36,21,1,4,2162,21.8224,68.6342,"Heritage destination in Gujarat, known for its heritage appeal."
139,Bhuj,Gujarat,West,Desert,Oct-Mar,40,13,2,5,2438,20.6209,74.4045,"Desert destination in Gujarat, known for its desert appeal."
140,Sasan Gir,Gujarat,West,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",33,14,2,3,1661,21.5326,69.6326,"Wildlife destination in Gujarat, known for its wildlife appeal."
141,Dwarka,Gujarat,West,Pilgrimage,Oct-Mar,36,22,1,3,1595,23.7238,72.0034,"Pilgrimage destination in Gujarat, known for its pilgrimage appeal."
142,Somnath,Gujarat,West,Pilgrimage,Oct-Mar,34,17,1,4,2251,21.6932,70.3858,"Pilgrimage destination in Gujarat, known for its pilgrimage appeal."
143,Diu,Gujarat,West,Beach,Oct-Mar,29,23,2,5,2515,24.2986,69.7638,"Beach destination in Gujarat, known for its beach appeal."
144,Vadodara,Gujarat,West,Heritage,Oct-Mar,40,20,2,7,3092,21.767,71.8577,"Heritage destination in Gujarat, known for its heritage appeal."
145,Saputara,Gujarat,West,Hill Station,"Mar-Jun, Sep-Nov",19,5,4,7,3176,24.5875,71.0916,"Hill Station destination in Gujarat, known for its hill station appeal."
146,Kevadia,Gujarat,West,Heritage,Oct-Mar,35,19,2,6,2526,20.9485,70.0875,"Heritage destination in Gujarat, known for its heritage appeal."
147,Junagadh,Gujarat,West,Heritage,Oct-Mar,38,16,3,5,2148,22.2539,72.1373,"Heritage destination in Gujarat, known for its heritage appeal."
148,Champaner,Gujarat,West,Heritage,Oct-Mar,39,16,2,3,1894,22.1851,71.5037,"Heritage destination in Gujarat, known for its heritage appeal."
149,Surat,Gujarat,West,Urban,Oct-Mar,32,15,3,5,2017,20.9369,73.6292,"Urban destination in Gujarat, known for its urban appeal."
150,Rajkot,Gujarat,West,Urban,Oct-Mar,38,16,3,4,2238,22.5223,73.2447,"Urban destination in Gujarat, known for its urban appeal."
151,Palitana,Gujarat,West,Pilgrimage,Oct-Mar,38,15,3,7,2674,22.6379,69.7995,"Pilgrimage destination in Gujarat, known for its pilgrimage appeal."
152,Porbandar,Gujarat,West,Beach,Oct-Mar,30,27,2,3,2479,20.9213,72.3123,"Beach destination in Gujarat, known for its beach appeal."
153,Modhera,Gujarat,West,Heritage,Oct-Mar,39,15,3,5,2562,24.4443,69.0888,"Heritage destination in Gujarat, known for its heritage appeal."
154,Lothal,Gujarat,West,Heritage,Oct-Mar,38,15,3,4,1751,21.0563,68.3672,"Heritage destination in Gujarat, known for its heritage appeal."
155,Mumbai,Maharashtra,West,Urban,Oct-Mar,34,17,2,9,3448,21.428,77.7855,"Urban destination in Maharashtra, known for its urban appeal."
156,Pune,Maharashtra,West,Urban,Oct-Mar,33,16,4,6,2747,17.8092,79.0228,"Urban destination in Maharashtra, known for its urban appeal."
157,Lonavala,Maharashtra,West,Hill Station,"Mar-Jun, Sep-Nov",22,-3,3,6,2633,21.8371,79.072,"Hill Station destination in Maharashtra, known for its hill station appeal."
158,Mahabaleshwar,Maharashtra,West,Hill Station,"Mar-Jun, Sep-Nov",14,5,4,5,2893,20.7191,76.1293,"Hill Station destination in Maharashtra, known for its hill station appeal."
159,Nashik,Maharashtra,West,Heritage,Oct-Mar,34,14,2,3,1771,19.6543,74.7405,"Heritage destination in Maharashtra, known for its heritage appeal."
160,Aurangabad,Maharashtra,West,Heritage,Oct-Mar,37,19,3,6,2224,21.3637,78.3371,"Heritage destination in Maharashtra, known for its heritage appeal."
161,Ajanta,Maharashtra,West,Heritage,Oct-Mar,36,24,2,4,2017,20.8163,76.7342,"Heritage destination in Maharashtra, known for its heritage appeal."
162,Ellora,Maharashtra,West,Heritage,Oct-Mar,33,14,1,3,1748,20.2093,73.4846,"Heritage destination in Maharashtra, known for its heritage appeal."
163,Alibaug,Maharashtra,West,Beach,Oct-Mar,32,23,2,5,3010,19.4433,78.1198,"Beach destination in Maharashtra, known for its beach appeal."
