city,state,month,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,humidity_pct,condition,good_time_to_visit
Haridwar,Uttarakhand,Jun,44.8,35.9,161.8,73,Monsoon/Rainy,No
Haridwar,Uttarakhand,Jul,42.5,32.9,151.0,74,Monsoon/Rainy,No
Haridwar,Uttarakhand,Aug,38.1,26.5,141.4,81,Hot & Humid,No
Haridwar,Uttarakhand,Sep,29.2,18.1,123.0,71,Pleasant,No
Haridwar,Uttarakhand,Oct,23.2,11.8,4.5,39,Pleasant,Yes
Haridwar,Uttarakhand,Nov,15.3,5.0,16.4,34,Pleasant,Yes
Haridwar,Uttarakhand,Dec,14.1,4.2,13.2,39,Pleasant,Yes
Jaipur,Rajasthan,Jan,24.3,13.2,29.0,46,Pleasant,Yes
Jaipur,Rajasthan,Feb,27.1,18.1,7.5,37,Pleasant,Yes
Jaipur,Rajasthan,Mar,30.9,22.4,29.5,41,Pleasant,Yes
Jaipur,Rajasthan,Apr,37.6,26.6,37.7,41,Hot & Dry,No
Jaipur,Rajasthan,May,41.5,31.6,37.8,33,Hot & Dry,No
Jaipur,Rajasthan,Jun,42.7,33.3,200.4,67,Monsoon/Rainy,No
Jaipur,Rajasthan,Jul,43.6,31.9,157.4,78,Monsoon/Rainy,No
Jaipur,Rajasthan,Aug,37.4,26.0,153.4,73,Monsoon/Rainy,No
Jaipur,Rajasthan,Sep,31.8,23.3,311.3,74,Monsoon/Rainy,No
Jaipur,Rajasthan,Oct,27.7,16.3,3.5,42,Pleasant,Yes
Jaipur,Rajasthan,Nov,25.5,13.7,11.5,34,Pleasant,Yes
Jaipur,Rajasthan,Dec,21.4,11.8,9.9,36,Pleasant,Yes
Gulmarg,Jammu and Kashmir,Jan,5.3,-5.3,1.5,36,Cold,No
Gulmarg,Jammu and Kashmir,Feb,10.7,-2.8,37.0,35,Cold,No
Gulmarg,Jammu and Kashmir,Mar,15.4,5.2,23.0,42,Pleasant,No
Gulmarg,Jammu and Kashmir,Apr,20.5,8.0,1.2,41,Pleasant,Yes
Gulmarg,Jammu and Kashmir,May,24.2,13.0,39.2,44,Pleasant,Yes
Gulmarg,Jammu and Kashmir,Jun,27.6,15.4,158.6,74,Monsoon/Rainy,Yes
Gulmarg,Jammu and Kashmir,Jul,26.8,13.6,160.2,72,Monsoon/Rainy,No
Gulmarg,Jammu and Kashmir,Aug,20.9,10.7,132.7,70,Pleasant,No
Gulmarg,Jammu and Kashmir,Sep,16.1,5.7,270.0,81,Monsoon/Rainy,Yes
Gulmarg,Jammu and Kashmir,Oct,8.9,-2.0,5.4,46,Cold,Yes
Gulmarg,Jammu and Kashmir,Nov,6.6,-3.9,37.8,39,Cold,Yes
Gulmarg,Jammu and Kashmir,Dec,5.7,-7.3,28.9,42,Cold,No
Darjeeling,West Bengal,Jan,3.5,2.0,3.0,33,Cold,No
Darjeeling,West Bengal,Feb,9.1,2.0,26.5,32,Cold,No
Darjeeling,West Bengal,Mar,14.5,2.9,15.5,38,Pleasant,Yes
Darjeeling,West Bengal,Apr,21.3,10.5,31.2,41,Pleasant,Yes
Darjeeling,West Bengal,May,25.4,15.9,14.1,32,Pleasant,Yes
Darjeeling,West Bengal,Jun,29.5,16.7,213.3,74,Monsoon/Rainy,Yes
Darjeeling,West Bengal,Jul,26.2,16.6,154.4,76,Monsoon/Rainy,No
Darjeeling,West Bengal,Aug,21.8,9.3,188.1,70,Monsoon/Rainy,No
Darjeeling,West Bengal,Sep,16.2,3.8,233.2,73,Monsoon/Rainy,Yes
Darjeeling,West Bengal,Oct,9.0,2.0,30.6,36,Cold,Yes
Darjeeling,West Bengal,Nov,3.1,2.0,0.0,38,Cold,Yes
Darjeeling,West Bengal,Dec,3.0,2.0,9.9,40,Cold,No
Kodaikanal,Tamil Nadu,Jan,3.1,2.0,11.6,43,Cold,No
Kodaikanal,Tamil Nadu,Feb,7.1,2.0,9.1,39,Cold,No
Kodaikanal,Tamil Nadu,Mar,12.9,3.8,26.1,33,Pleasant,Yes
Kodaikanal,Tamil Nadu,Apr,19.3,7.4,21.0,33,Pleasant,Yes
Kodaikanal,Tamil Nadu,May,23.4,10.4,31.6,34,Pleasant,Yes
Kodaikanal,Tamil Nadu,Jun,23.3,10.8,24.0,43,Pleasant,Yes
Kodaikanal,Tamil Nadu,Jul,21.5,9.3,26.2,34,Pleasant,No
Kodaikanal,Tamil Nadu,Aug,19.8,8.2,7.5,47,Pleasant,No
Kodaikanal,Tamil Nadu,Sep,12.2,2.2,15.7,42,Pleasant,Yes
Kodaikanal,Tamil Nadu,Oct,7.0,2.0,131.4,78,Cold,Yes
Kodaikanal,Tamil Nadu,Nov,3.0,2.0,252.0,70,Monsoon/Rainy,Yes
Kodaikanal,Tamil Nadu,Dec,3.0,2.0,132.9,70,Cold,No
Agra,Uttar Pradesh,Jan,15.8,7.5,9.6,43,Pleasant,Yes
Agra,Uttar Pradesh,Feb,21.7,11.1,17.0,39,Pleasant,Yes
Agra,Uttar Pradesh,Mar,29.8,19.4,0.5,34,Pleasant,Yes
Agra,Uttar Pradesh,Apr,36.5,28.0,22.0,46,Hot & Humid,No
Agra,Uttar Pradesh,May,44.4,32.6,31.6,37,Hot & Dry,No
Agra,Uttar Pradesh,Jun,46.6,35.4,304.6,80,Monsoon/Rainy,No
Agra,Uttar Pradesh,Jul,43.4,32.0,270.4,81,Monsoon/Rainy,No
Agra,Uttar Pradesh,Aug,38.2,29.3,202.5,78,Monsoon/Rainy,No
Agra,Uttar Pradesh,Sep,30.8,21.8,268.9,73,Monsoon/Rainy,No
Agra,Uttar Pradesh,Oct,21.8,13.4,26.0,32,Pleasant,Yes
Agra,Uttar Pradesh,Nov,17.0,7.1,29.7,41,Pleasant,Yes
Agra,Uttar Pradesh,Dec,13.9,3.3,25.5,33,Pleasant,Yes
Bangalore,Karnataka,Jan,29.7,17.7,19.5,45,Pleasant,Yes
Bangalore,Karnataka,Feb,30.1,21.8,14.0,43,Pleasant,Yes
Bangalore,Karnataka,Mar,30.3,22.1,1.2,35,Pleasant,No
Bangalore,Karnataka,Apr,34.9,24.1,28.6,38,Pleasant,No
Bangalore,Karnataka,May,33.3,22.9,32.5,39,Pleasant,No
Bangalore,Karnataka,Jun,35.3,27.2,687.4,82,Monsoon/Rainy,No
Bangalore,Karnataka,Jul,34.1,24.4,374.4,67,Monsoon/Rainy,No
Bangalore,Karnataka,Aug,31.7,23.0,429.7,69,Monsoon/Rainy,No
Bangalore,Karnataka,Sep,31.1,22.3,635.0,70,Monsoon/Rainy,No
Bangalore,Karnataka,Oct,31.9,20.3,9.2,46,Pleasant,No
Bangalore,Karnataka,Nov,30.2,18.3,19.3,35,Pleasant,Yes
Bangalore,Karnataka,Dec,25.7,17.4,26.5,33,Pleasant,Yes
Alleppey,Kerala,Jan,27.1,22.0,26.2,75,Pleasant,Yes
Alleppey,Kerala,Feb,25.5,20.2,3.8,78,Pleasant,Yes
Alleppey,Kerala,Mar,29.4,24.0,32.1,88,Pleasant,Yes
Alleppey,Kerala,Apr,29.5,24.4,18.3,65,Pleasant,No
Alleppey,Kerala,May,30.8,25.8,5.9,68,Pleasant,No
Alleppey,Kerala,Jun,32.0,26.2,746.4,68,Monsoon/Rainy,No
Alleppey,Kerala,Jul,30.6,23.1,790.3,78,Monsoon/Rainy,No
Alleppey,Kerala,Aug,29.5,22.4,723.9,77,Monsoon/Rainy,No
Alleppey,Kerala,Sep,27.0,21.6,743.2,86,Monsoon/Rainy,Yes
Alleppey,Kerala,Oct,26.9,19.3,30.3,71,Pleasant,Yes
Alleppey,Kerala,Nov,25.9,20.2,12.4,74,Pleasant,Yes
Alleppey,Kerala,Dec,24.3,19.3,25.4,66,Pleasant,Yes
Ooty,Tamil Nadu,Jan,8.1,2.0,36.9,34,Cold,No
Ooty,Tamil Nadu,Feb,10.3,2.0,38.1,44,Cold,No
Ooty,Tamil Nadu,Mar,16.5,4.1,32.4,39,Pleasant,Yes
Ooty,Tamil Nadu,Apr,19.7,9.5,18.0,40,Pleasant,Yes
Ooty,Tamil Nadu,May,25.7,13.0,22.4,33,Pleasant,Yes
Ooty,Tamil Nadu,Jun,25.7,13.6,39.1,35,Pleasant,Yes
Ooty,Tamil Nadu,Jul,23.6,11.1,18.4,43,Pleasant,No
Ooty,Tamil Nadu,Aug,20.3,7.7,18.3,37,Pleasant,No
Ooty,Tamil Nadu,Sep,16.3,4.3,22.5,43,Pleasant,Yes
Ooty,Tamil Nadu,Oct,10.0,2.0,196.4,67,Monsoon/Rainy,Yes
Ooty,Tamil Nadu,Nov,8.0,2.0,186.4,77,Monsoon/Rainy,Yes
Ooty,Tamil Nadu,Dec,7.8,2.0,188.5,79,Monsoon/Rainy,No
Chennai,Tamil Nadu,Jan,29.8,20.8,31.5,43,Pleasant,Yes
Chennai,Tamil Nadu,Feb,31.2,20.9,10.8,35,Pleasant,Yes
Chennai,Tamil Nadu,Mar,31.8,23.7,39.9,35,Pleasant,No
Chennai,Tamil Nadu,Apr,36.9,24.9,35.5,40,Hot & Dry,No
Chennai,Tamil Nadu,May,37.1,26.8,14.3,38,Hot & Dry,No
Chennai,Tamil Nadu,Jun,37.3,26.0,3.9,39,Hot & Dry,No
Chennai,Tamil Nadu,Jul,37.0,27.1,0.8,32,Hot & Dry,No
Chennai,Tamil Nadu,Aug,37.7,26.7,14.4,41,Hot & Dry,No
Chennai,Tamil Nadu,Sep,32.9,24.3,6.0,33,Pleasant,No
Chennai,Tamil Nadu,Oct,31.9,23.5,164.2,72,Monsoon/Rainy,No
Chennai,Tamil Nadu,Nov,30.0,19.8,124.5,75,Pleasant,Yes
Chennai,Tamil Nadu,Dec,31.1,19.3,136.1,68,Pleasant,Yes
Udaipur,Rajasthan,Jan,25.7,15.6,4.4,46,Pleasant,Yes
Udaipur,Rajasthan,Feb,28.6,17.3,24.4,46,Pleasant,Yes
Udaipur,Rajasthan,Mar,31.9,21.5,27.1,47,Pleasant,Yes
Udaipur,Rajasthan,Apr,35.3,27.1,30.5,40,Hot & Dry,No
Udaipur,Rajasthan,May,37.9,26.4,39.3,44,Hot & Dry,No
Udaipur,Rajasthan,Jun,38.9,30.2,192.6,81,Monsoon/Rainy,No
Udaipur,Rajasthan,Jul,36.8,27.2,213.3,81,Monsoon/Rainy,No
Udaipur,Rajasthan,Aug,35.8,25.6,193.5,81,Monsoon/Rainy,No
Udaipur,Rajasthan,Sep,30.0,21.9,231.8,71,Monsoon/Rainy,No
Udaipur,Rajasthan,Oct,27.8,19.1,3.0,42,Pleasant,Yes
Udaipur,Rajasthan,Nov,26.5,15.3,4.7,38,Pleasant,Yes
Udaipur,Rajasthan,Dec,25.0,15.6,37.0,34,Pleasant,Yes
Shillong,Meghalaya,Jan,12.9,2.0,3.6,35,Pleasant,No
Shillong,Meghalaya,Feb,13.5,2.3,23.1,32,Pleasant,No
Shillong,Meghalaya,Mar,18.3,6.1,2.2,36,Pleasant,Yes
Shillong,Meghalaya,Apr,20.3,9.8,32.5,38,Pleasant,Yes
Shillong,Meghalaya,May,22.6,9.7,19.3,37,Pleasant,Yes
Shillong,Meghalaya,Jun,20.7,10.5,349.6,79,Monsoon/Rainy,Yes
Shillong,Meghalaya,Jul,21.1,11.1,894.8,82,Monsoon/Rainy,No
Shillong,Meghalaya,Aug,19.2,8.3,676.0,79,Monsoon/Rainy,No
Shillong,Meghalaya,Sep,16.7,6.5,343.8,79,Monsoon/Rainy,Yes
Shillong,Meghalaya,Oct,13.9,2.0,26.5,35,Pleasant,Yes
Shillong,Meghalaya,Nov,12.9,2.7,29.1,32,Pleasant,Yes
Shillong,Meghalaya,Dec,9.5,2.0,38.6,46,Cold,No
Hampi,Karnataka,Jan,28.3,16.9,9.8,33,Pleasant,Yes
Hampi,Karnataka,Feb,29.0,20.3,3.7,47,Pleasant,Yes
Hampi,Karnataka,Mar,33.0,22.5,26.7,37,Pleasant,No
Hampi,Karnataka,Apr,34.8,24.8,23.3,44,Pleasant,No
Hampi,Karnataka,May,37.0,26.4,27.4,44,Hot & Dry,No
Hampi,Karnataka,Jun,36.9,26.3,822.9,82,Monsoon/Rainy,No
Hampi,Karnataka,Jul,36.2,27.9,608.1,76,Monsoon/Rainy,No
Hampi,Karnataka,Aug,35.5,26.7,708.3,77,Monsoon/Rainy,No
Hampi,Karnataka,Sep,32.6,22.3,645.5,75,Monsoon/Rainy,No
Hampi,Karnataka,Oct,28.0,18.9,17.8,38,Pleasant,No
Hampi,Karnataka,Nov,26.7,16.5,11.0,41,Pleasant,Yes
Hampi,Karnataka,Dec,24.5,15.8,16.1,44,Pleasant,Yes
Bodh Gaya,Bihar,Jan,23.9,14.2,27.2,32,Pleasant,Yes
Bodh Gaya,Bihar,Feb,26.1,14.7,8.7,44,Pleasant,Yes
Bodh Gaya,Bihar,Mar,30.1,21.4,27.4,42,Pleasant,Yes
Bodh Gaya,Bihar,Apr,33.5,23.9,31.5,44,Pleasant,No
Bodh Gaya,Bihar,May,40.3,28.4,5.9,39,Hot & Dry,No
Bodh Gaya,Bihar,Jun,38.7,29.3,316.0,81,Monsoon/Rainy,No
Bodh Gaya,Bihar,Jul,39.6,28.8,262.2,79,Monsoon/Rainy,No
Bodh Gaya,Bihar,Aug,34.0,25.7,255.3,73,Monsoon/Rainy,No
Bodh Gaya,Bihar,Sep,32.1,20.4,243.2,70,Monsoon/Rainy,No
Bodh Gaya,Bihar,Oct,25.7,16.7,6.8,33,Pleasant,Yes
Bodh Gaya,Bihar,Nov,22.9,12.7,33.7,47,Pleasant,Yes
Bodh Gaya,Bihar,Dec,23.7,12.7,5.4,42,Pleasant,Yes
Auli,Uttarakhand,Jan,1.6,-9.1,38.6,35,Cold,No
Auli,Uttarakhand,Feb,3.1,-7.7,28.3,41,Cold,No
Auli,Uttarakhand,Mar,6.2,-4.6,1.1,47,Cold,No
Auli,Uttarakhand,Apr,9.2,-2.9,24.2,45,Cold,Yes
Auli,Uttarakhand,May,12.7,1.6,7.9,38,Pleasant,Yes
Auli,Uttarakhand,Jun,11.7,1.4,316.7,70,Monsoon/Rainy,Yes
Auli,Uttarakhand,Jul,12.1,1.3,163.5,74,Monsoon/Rainy,No
Auli,Uttarakhand,Aug,12.1,-1.0,227.4,75,Monsoon/Rainy,No
Auli,Uttarakhand,Sep,7.3,-3.1,233.7,74,Monsoon/Rainy,Yes
Auli,Uttarakhand,Oct,4.6,-7.6,16.6,32,Cold,Yes
Auli,Uttarakhand,Nov,0.9,-9.3,3.4,43,Cold,Yes
Auli,Uttarakhand,Dec,-0.4,-13.3,13.8,36,Cold,No
Tirthan Valley,Himachal Pradesh,Jan,6.7,-4.0,16.4,40,Cold,No
Tirthan Valley,Himachal Pradesh,Feb,10.1,-2.0,3.2,38,Cold,No
Tirthan Valley,Himachal Pradesh,Mar,10.6,-0.6,30.1,42,Cold,No
Tirthan Valley,Himachal Pradesh,Apr,15.3,2.1,31.5,45,Pleasant,Yes
Tirthan Valley,Himachal Pradesh,May,16.4,5.8,27.9,38,Pleasant,Yes
Tirthan Valley,Himachal Pradesh,Jun,17.3,4.9,312.2,69,Monsoon/Rainy,Yes
Tirthan Valley,Himachal Pradesh,Jul,15.6,5.4,144.0,72,Pleasant,No
Tirthan Valley,Himachal Pradesh,Aug,13.7,2.9,191.7,81,Monsoon/Rainy,No
Tirthan Valley,Himachal Pradesh,Sep,10.8,0.3,244.9,77,Monsoon/Rainy,Yes
Tirthan Valley,Himachal Pradesh,Oct,8.2,-2.6,30.9,47,Cold,Yes
Tirthan Valley,Himachal Pradesh,Nov,7.9,-2.3,20.0,45,Cold,Yes
Tirthan Valley,Himachal Pradesh,Dec,5.8,-6.1,9.4,40,Cold,No
Tirupati,Andhra Pradesh,Jan,28.7,17.8,2.6,42,Pleasant,Yes
Tirupati,Andhra Pradesh,Feb,31.9,22.5,8.8,34,Pleasant,Yes
Tirupati,Andhra Pradesh,Mar,33.6,22.5,5.2,38,Pleasant,No
Tirupati,Andhra Pradesh,Apr,34.4,26.1,9.5,43,Pleasant,No
Tirupati,Andhra Pradesh,May,38.1,26.2,30.1,34,Hot & Dry,No
Tirupati,Andhra Pradesh,Jun,39.2,28.4,131.3,70,Hot & Humid,No
Tirupati,Andhra Pradesh,Jul,37.9,28.2,161.7,72,Monsoon/Rainy,No
Tirupati,Andhra Pradesh,Aug,35.0,24.6,133.1,82,Hot & Humid,No
Tirupati,Andhra Pradesh,Sep,32.9,23.8,234.6,81,Monsoon/Rainy,No
Tirupati,Andhra Pradesh,Oct,31.9,20.5,11.8,46,Pleasant,No
Tirupati,Andhra Pradesh,Nov,28.3,18.3,16.2,45,Pleasant,Yes
Tirupati,Andhra Pradesh,Dec,29.4,19.5,37.8,34,Pleasant,Yes
Kaziranga,Assam,Jan,23.6,10.7,38.6,34,Pleasant,Yes
Kaziranga,Assam,Feb,26.8,15.5,3.9,34,Pleasant,Yes
Kaziranga,Assam,Mar,31.6,18.4,16.7,44,Pleasant,Yes
Kaziranga,Assam,Apr,33.3,22.8,12.7,42,Pleasant,Yes
Kaziranga,Assam,May,38.3,26.1,18.3,44,Hot & Dry,Yes
Kaziranga,Assam,Jun,38.5,28.2,681.5,78,Monsoon/Rainy,Yes
Kaziranga,Assam,Jul,38.8,26.7,507.4,67,Monsoon/Rainy,No
Kaziranga,Assam,Aug,33.2,21.8,333.4,77,Monsoon/Rainy,No
Kaziranga,Assam,Sep,31.2,19.9,533.1,81,Monsoon/Rainy,No
Kaziranga,Assam,Oct,25.0,13.2,11.1,34,Pleasant,No
Kaziranga,Assam,Nov,22.4,9.0,20.7,38,Pleasant,Yes
Kaziranga,Assam,Dec,22.9,9.9,31.6,44,Pleasant,Yes
Kasol,Himachal Pradesh,Jan,8.6,-4.8,12.2,41,Cold,No
Kasol,Himachal Pradesh,Feb,8.7,-3.7,4.9,34,Cold,No
Kasol,Himachal Pradesh,Mar,11.8,1.1,13.0,39,Cold,No
Kasol,Himachal Pradesh,Apr,13.7,1.0,5.9,32,Pleasant,Yes
Kasol,Himachal Pradesh,May,15.1,4.4,8.1,32,Pleasant,Yes
Kasol,Himachal Pradesh,Jun,15.3,4.7,123.9,76,Pleasant,Yes
Kasol,Himachal Pradesh,Jul,16.3,2.7,156.9,79,Monsoon/Rainy,No
Kasol,Himachal Pradesh,Aug,12.5,1.6,175.8,72,Monsoon/Rainy,No
Kasol,Himachal Pradesh,Sep,12.8,-1.0,273.6,79,Monsoon/Rainy,Yes
Kasol,Himachal Pradesh,Oct,11.1,-1.9,26.1,40,Cold,Yes
Kasol,Himachal Pradesh,Nov,7.7,-2.6,9.1,46,Cold,Yes
Kasol,Himachal Pradesh,Dec,9.8,-3.5,34.1,38,Cold,No
Khajjiar,Himachal Pradesh,Jan,11.6,2.2,34.8,45,Cold,No
Khajjiar,Himachal Pradesh,Feb,15.5,2.7,11.5,39,Pleasant,No
Khajjiar,Himachal Pradesh,Mar,19.6,10.3,19.1,37,Pleasant,Yes
Khajjiar,Himachal Pradesh,Apr,22.9,12.7,36.2,39,Pleasant,Yes
Khajjiar,Himachal Pradesh,May,26.5,15.6,27.3,38,Pleasant,Yes
Khajjiar,Himachal Pradesh,Jun,27.7,18.2,311.7,79,Monsoon/Rainy,Yes
Khajjiar,Himachal Pradesh,Jul,26.4,17.1,229.6,77,Monsoon/Rainy,No
Khajjiar,Himachal Pradesh,Aug,22.9,13.8,303.6,80,Monsoon/Rainy,No
