destination_id,name,country,region,category,ideal_days,popularity_score,avg_daily_budget_inr,visa_required_for_indians,description
32,Punakha,Bhutan,South Asia,Hill Station,4,6,3274,Visa-free (permit required),Hill Station destination in Bhutan.
33,Hanoi,Vietnam,Southeast Asia,Urban,3,4,3803,e-Visa,Urban destination in Vietnam.
34,Ho Chi Minh City,Vietnam,Southeast Asia,Urban,2,7,3241,e-Visa,Urban destination in Vietnam.
35,Ha Long Bay,Vietnam,Southeast Asia,Island,4,5,3654,e-Visa,Island destination in Vietnam.
36,Da Nang,Vietnam,Southeast Asia,Beach,2,7,3719,e-Visa,Beach destination in Vietnam.
37,Hoi An,Vietnam,Southeast Asia,Heritage,1,6,4319,e-Visa,Heritage destination in Vietnam.
38,Siem Reap,Cambodia,Southeast Asia,Heritage,2,3,2843,Visa on Arrival/e-Visa,Heritage destination in Cambodia.
39,Phnom Penh,Cambodia,Southeast Asia,Urban,4,6,4393,Visa on Arrival/e-Visa,Urban destination in Cambodia.
40,Tokyo,Japan,East Asia,Urban,3,3,7763,Visa Required,Urban destination in Japan.
41,Kyoto,Japan,East Asia,Heritage,1,7,8925,Visa Required,Heritage destination in Japan.
42,Osaka,Japan,East Asia,Urban,2,7,8958,Visa Required,Urban destination in Japan.
43,Hokkaido,Japan,East Asia,Adventure,6,6,6816,Visa Required,Adventure destination in Japan.
44,Seoul,South Korea,East Asia,Urban,3,6,8350,Visa Required,Urban destination in South Korea.
45,Busan,South Korea,East Asia,Beach,3,6,10202,Visa Required,Beach destination in South Korea.
46,Jeju Island,South Korea,East Asia,Island,5,5,9374,Visa Required,Island destination in South Korea.
47,Hong Kong,Hong Kong,East Asia,Urban,2,3,6411,Visa-free (short stay),Urban destination in Hong Kong.
48,Beijing,China,East Asia,Heritage,1,6,8816,Visa Required,Heritage destination in China.
49,Shanghai,China,East Asia,Urban,4,5,7507,Visa Required,Urban destination in China.
50,Paris,France,Europe,Urban,2,5,8691,Visa Required (Schengen),Urban destination in France.
51,London,United Kingdom,Europe,Urban,2,7,8082,Visa Required,Urban destination in United Kingdom.
52,Edinburgh,United Kingdom,Europe,Heritage,3,7,9334,Visa Required,Heritage destination in United Kingdom.
53,Rome,Italy,Europe,Heritage,1,9,9616,Visa Required (Schengen),Heritage destination in Italy.
54,Venice,Italy,Europe,Heritage,1,3,8185,Visa Required (Schengen),Heritage destination in Italy.
55,Florence,Italy,Europe,Heritage,3,6,7686,Visa Required (Schengen),Heritage destination in Italy.
56,Milan,Italy,Europe,Urban,3,7,9173,Visa Required (Schengen),Urban destination in Italy.
57,Barcelona,Spain,Europe,Urban,3,4,8520,Visa Required (Schengen),Urban destination in Spain.
58,Madrid,Spain,Europe,Urban,3,3,8986,Visa Required (Schengen),Urban destination in Spain.
59,Amsterdam,Netherlands,Europe,Urban,2,3,9976,Visa Required (Schengen),Urban destination in Netherlands.
60,Vienna,Austria,Europe,Urban,2,5,11159,Visa Required (Schengen),Urban destination in Austria.
61,Prague,Czech Republic,Europe,Heritage,3,3,7333,Visa Required (Schengen),Heritage destination in Czech Republic.
62,Budapest,Hungary,Europe,Urban,4,5,9227,Visa Required (Schengen),Urban destination in Hungary.
63,Zurich,Switzerland,Europe,Urban,4,7,8975,Visa Required (Schengen),Urban destination in Switzerland.
64,Interlaken,Switzerland,Europe,Hill Station,5,6,11170,Visa Required (Schengen),Hill Station destination in Switzerland.
65,Geneva,Switzerland,Europe,Urban,2,7,8361,Visa Required (Schengen),Urban destination in Switzerland.
66,Berlin,Germany,Europe,Urban,2,3,10907,Visa Required (Schengen),Urban destination in Germany.
67,Munich,Germany,Europe,Urban,4,6,10895,Visa Required (Schengen),Urban destination in Germany.
68,Brussels,Belgium,Europe,Urban,2,5,7209,Visa Required (Schengen),Urban destination in Belgium.
69,Lisbon,Portugal,Europe,Urban,3,7,10933,Visa Required (Schengen),Urban destination in Portugal.
70,Athens,Greece,Europe,Heritage,1,6,10289,Visa Required (Schengen),Heritage destination in Greece.
71,Santorini,Greece,Europe,Island,5,6,8927,Visa Required (Schengen),Island destination in Greece.
72,Istanbul,Turkey,Middle East,Urban,4,6,5907,e-Visa,Urban destination in Turkey.
73,Reykjavik,Iceland,Europe,Adventure,6,6,9673,Visa Required (Schengen),Adventure destination in Iceland.
74,Oslo,Norway,Europe,Urban,2,3,9019,Visa Required (Schengen),Urban destination in Norway.
75,Stockholm,Sweden,Europe,Urban,4,3,11437,Visa Required (Schengen),Urban destination in Sweden.
76,Copenhagen,Denmark,Europe,Urban,4,7,10254,Visa Required (Schengen),Urban destination in Denmark.
77,Helsinki,Finland,Europe,Urban,3,5,9871,Visa Required (Schengen),Urban destination in Finland.
78,Doha,Qatar,Middle East,Urban,3,4,5216,Visa on Arrival/e-Visa,Urban destination in Qatar.
79,Muscat,Oman,Middle East,Urban,2,3,5262,Visa on Arrival/e-Visa,Urban destination in Oman.
80,Amman,Jordan,Middle East,Heritage,3,6,6713,Visa on Arrival,Heritage destination in Jordan.
81,Petra,Jordan,Middle East,Heritage,1,4,6389,Visa on Arrival,Heritage destination in Jordan.
82,Cairo,Egypt,Middle East,Heritage,3,4,4835,Visa on Arrival/e-Visa,Heritage destination in Egypt.
83,Luxor,Egypt,Middle East,Heritage,2,6,5685,Visa on Arrival/e-Visa,Heritage destination in Egypt.
84,Cape Town,South Africa,Africa,Urban,2,7,6497,Visa-free (short stay),Urban destination in South Africa.
85,Johannesburg,South Africa,Africa,Urban,2,7,7826,Visa-free (short stay),Urban destination in South Africa.
86,Marrakech,Morocco,Africa,Heritage,3,3,7569,Visa-free (short stay),Heritage destination in Morocco.
87,Casablanca,Morocco,Africa,Urban,2,6,6459,Visa-free (short stay),Urban destination in Morocco.
88,Nairobi,Kenya,Africa,Wildlife,2,4,6512,e-Visa,Wildlife destination in Kenya.
89,Port Louis,Mauritius,Africa,Island,4,3,6195,Visa-free (short stay),Island destination in Mauritius.
90,Victoria,Seychelles,Africa,Island,5,6,5935,Visa-free (short stay),Island destination in Seychelles.
91,Zanzibar,Tanzania,Africa,Island,6,5,7987,e-Visa,Island destination in Tanzania.
92,New York,United States,North America,Urban,4,5,12185,Visa Required,Urban destination in United States.
93,Los Angeles,United States,North America,Urban,4,4,11820,Visa Required,Urban destination in United States.
94,San Francisco,United States,North America,Urban,3,6,11957,Visa Required,Urban destination in United States.
95,Las Vegas,United States,North America,Urban,4,4,10601,Visa Required,Urban destination in United States.
96,Orlando,United States,North America,Urban,2,6,9868,Visa Required,Urban destination in United States.
97,Toronto,Canada,North America,Urban,2,3,15279,Visa Required,Urban destination in Canada.
98,Vancouver,Canada,North America,Urban,4,7,12703,Visa Required,Urban destination in Canada.
99,Niagara Falls,Canada,North America,Adventure,5,6,9640,Visa Required,Adventure destination in Canada.
100,Rio de Janeiro,Brazil,South America,Beach,4,5,9043,e-Visa,Beach destination in Brazil.
101,Buenos Aires,Argentina,South America,Urban,2,3,10247,Visa-free (short stay),Urban destination in Argentina.
102,Cusco,Peru,South America,Heritage,1,4,10987,Visa-free (short stay),Heritage destination in Peru.
103,Sydney,Australia,Oceania,Urban,3,5,9378,Visa Required,Urban destination in Australia.
104,Melbourne,Australia,Oceania,Urban,2,7,14146,Visa Required,Urban destination in Australia.
105,Gold Coast,Australia,Oceania,Beach,3,5,11725,Visa Required,Beach destination in Australia.
106,Auckland,New Zealand,Oceania,Urban,2,6,9346,Visa Required,Urban destination in New Zealand.
107,Queenstown,New Zealand,Oceania,Adventure,5,5,10933,Visa Required,Adventure destination in New Zealand.
108,Nadi,Fiji,Oceania,Island,5,5,8928,Visa-free (short stay),Island destination in Fiji.
